data_type,study_number_meta,author,year,title,link_to_paper,source,Diagnosis,n,pclr_score,Offending,Number violent convictions (mean),Age at 1st Violent conviction (mean),age,IQ,% Right handed,male_percent,Axis_I_comorbidity %,Substance Misuse Disorder Historical,Other Personality Disorder Comorbidity,Active Substance Misuse,white_ethnicity,black_ethnicity,other_ethnicity,Psychotropic meds,tracing,units,MRI_SCANNER,whole_brain_mn_l,whole_brain_sd_l,whole_brain_mn_r,whole_brain_sd_r,whole_brain_mn,whole_brain_sd,intracranial_mn_l,intracranial_sd_l,intracranial_mn_r,intracranial_sd_r,intracranial_mn,intracranial_sd,white_matter_mn_l,white_matter_sd_l,white_matter_mn_r,white_matter_sd_r,white_matter_mn,white_matter_sd,gray_matter_mn_l,gray_matter_sd_l,gray_matter_mn_r,gray_matter_sd_r,gray_matter_mn,gray_matter_sd,csf_mn_l,csf_sd_l,csf_mn_r,csf_sd_r,csf_mn,csf_sd,amygdala_mn_l,amygdala_sd_l,amygdala_mn_r,amygdala_sd_r,amygdala_mn,amygdala_sd,amygdala_t,acc_mn_l,acc_sd_l,acc_mn_r,acc_sd_r,acc_mn,acc_sd,acc_t,accumbens_mn_l,accumbens_sd_l,accumbens_p_l,accumbens_mn_r,accumbens_sd_r,accumbens_p_r,accumbens_mn,accumbens_sd,caudate_mn_l,caudate_sd_l,caudate_mn_r,caudate_sd_r,caudate_mn,caudate_sd,caudate_t,cerebellum_mn_l,cerebellum_sd_l,cerebellum_mn_r,cerebellum_sd_r,cerebellum_mn,cerebellum_sd,corpus_callosum_mn_l,corpus_callosum_sd_l,corpus_callosum_mn_r,corpus_callosum_sd_r,corpus_callosum_mn,corpus_callosum_sd,frontal_mn_l,frontal_sd_l,frontal_mn_r,frontal_sd_r,frontal_mn,frontal_sd,frontal_t,hippocampus_mn_l,hippocampus_sd_l,hippocampus_mn_r,hippocampus_sd_r,hippocampus_mn,hippocampus_sd,insula_mn_l,insula_sd_l,insula_mn_r,insula_sd_r,insula_mn,insula_sd,lateral_ventricle_mn_l,lateral_ventricle_sd_l,lateral_ventricle_mn_r,lateral_ventricle_sd_r,lateral_ventricle_mn,lateral_ventricle_sd,lingualgyrus_mn_r,lingualgyrus_sd_r,lingualgyrus_mn_l,lingualgyrus_sd_l,lingualgyrus_mn,lingualgyrus_sd,occipital_mean_l,occipital_sd_l,occipital_mean_r,occipital_sd_r,occipital_mean,occipital_sd,pallidum_mn_l,pallidum_sd_l,pallidum_mn_r,pallidum_sd_r,pallidum_mn,pallidum_sd,pallidum_t,parahippocampal_mn_l,parahippocampal_sd_l,parahippocampal_mn_r,parahippocampal_sd_r,parahippocampal_mn,parahippocampal_sd,parietal_mn_l,parietal_sd_l,parietal_mn_r,parietal_sd_r,parietal_mn,parietal_sd,precuneus_mn_l,precuneus_sd_l,precuneus_mn,precuneus_sd,putamen_mn_l,putamen_sd_l,putamen_mn_r,putamen_sd_r,putamen_mn,putamen_sd,putamen_t,striatum_mn_l,striatum_sd_l,striatum_mn_r,striatum_sd_r,striatum_mn,striatum_sd,thalamus_mn_l,thalamus_sd_l,thalamus_mn_r,thalamus_sd_r,thalamus_mn,thalamus_sd,third_ventricle_mn_l,third_ventricle_sd_l,third_ventricle_mn_r,third_ventricle_sd_r,third_ventricle_mn,third_ventricle_sd
,5,"Boccardi et al,",2013,Atypical nucleus accumbens morphology in psychopathy: another limbic piece in the puzzle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603572/pdf/nihms437810.pdf,ovid_search,HCA,25,,Non-offender,,,,,,1,No,,No,,,,,No,Manual,cm3,1,,,,,,,,,,,1707,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.21,,1.41,0.22,,1.375,0.21,5.07,0.8,4.95,0.78,5.01,0.78,,,,,,,,,,,,,,,,,,,,,3.39,0.38,3.26,0.395,3.375,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,0.62,6.79,0.65,6.76,0.692,,,,,,,,,,,,,,,,,,,
,6,"Budhiraja et al,",2017,Brain structure abnormalities in young women who presented conduct disorder in childhood/adolescence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5548815/,ovid_search,CD,31,0.33,Mixed,,,24.1,16.5,,0,Mixed,,Mixed,Mixed,,,,Not specified,Manual,cm3,3,,,,,,,,,,,1410.37,80.57,,,,,458.7,30.89,,,,,674.13,40.33,,,,,277.64,15.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Budhiraja et al,",2017,Brain structure abnormalities in young women who presented conduct disorder in childhood/adolescence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5548815/,ovid_search,HCA,25,0.19,Non-offender,,,22.7,19.3,,0,No,,No,No,,,,No,Manual,cm3,3,,,,,,,,,,,1461.1,71,,,,,473.92,26.6,,,,,701.69,32.01,,,,,285.47,18.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Glenn et al,",2010,No volumetric differences in the anterior cingulate ofpsychopathic individuals,https://aglenn.people.ua.edu/uploads/1/4/1/8/14182546/glenn_psyn_2010.pdf,ovid_search,ASPD+P,24,28,Not Specified,,,32.7,,0.83,1,,,Not specified,Not Specified,0.46,,,,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12710,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Glenn et al,",2010,No volumetric differences in the anterior cingulate ofpsychopathic individuals,https://aglenn.people.ua.edu/uploads/1/4/1/8/14182546/glenn_psyn_2010.pdf,ovid_search,HCA,24,11.5,Not Specified,,,29.2,,0.83,1,,,Not specified,Not Specified,0.5,,,,Manual,mm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12603,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Huebner et al,",2008,Morphometric Brain Abnormalities in Boys With Conduct Disorder,https://www.sciencedirect.com/science/article/abs/pii/S0890856709624205,ovid_search,CD(Y),23,,Non-offender,,,14.5,96.7,,1,,,No,Mixed,,,,,,mm3,1.5,,,,,1859000,137000,,,,,,,,,,,457000,43000,,,,,768000,50000,,,,,634000,84600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Huebner et al,",2008,Morphometric Brain Abnormalities in Boys With Conduct Disorder,https://www.sciencedirect.com/science/article/abs/pii/S0890856709624205,ovid_search,HCY,23,,Non-offender,,,14.2,98.9,,1,,No,No,No,,,,,,mm3,1.5,,,,,1932000,141000,,,,,,,,,,,476000,45000,,,,,816000,57000,,,,,640000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Kaya et al,",2020,Reduced hippocampus and amygdala volumes in antisocial personality disorder,https://www.sciencedirect.com/science/article/pii/S0967586819318375,ovid_search,ASPD,20,,,,,31.4,,1,1,,,No,No,,,,,Manual,cm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.24,1.35,0.2,1.345,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,0.38,2.63,0.33,2.66,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Kaya et al,",2020,Reduced hippocampus and amygdala volumes in antisocial personality disorder,https://www.sciencedirect.com/science/article/pii/S0967586819318375,ovid_search,HCA,20,,,,,30.2,,1,1,,,No,No,,,,,Manual,cm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,0.32,2,0.33,1.985,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,0.35,3.02,0.26,3.055,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Kruesi et al,",2004,Reduced temporal lobe volume in early onset conduct disorder,https://www.sciencedirect.com/science/article/pii/S0925492704000939,ovid_search,CD(Y),10,,,,,16.1,101.7,0.9,,,Mixed,,,,,,,,cm3,1.5,,,,,947.5,87.9,,,,,,,,,,,265.8,39.3,,,,,689.5,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Kruesi et al,",2004,Reduced temporal lobe volume in early onset conduct disorder,https://www.sciencedirect.com/science/article/pii/S0925492704000939,ovid_search,HCY,10,,,,,15.9,132.6,0.9,,,,,,,,,,,cm3,1.5,,,,,1110.4,238.3,,,,,,,,,,,321.4,82.7,,,,,798.1,164.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Laakso et al,",2002,Prefrontal volumes in habitually violent subjects with antisocial personality disorder and type 2 alcoholism,https://www.sciencedirect.com/science/article/pii/S0925492702000057,ovid_search,ASPD,33,27.6,Violent,,,34,,,1,,,,,,,,,Magic View 1000,mm3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4567,620,4788,656,4677.5,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Laakso et al,",2002,Prefrontal volumes in habitually violent subjects with antisocial personality disorder and type 2 alcoholism,https://www.sciencedirect.com/science/article/pii/S0925492702000057,ovid_search,HCA,24,,Non-offender,,,31,,,1,,,,,,,,,Magic View 1000,mm3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4392,447,4542,563,4467,508.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Narayan et al,",2007,Regional Cortical Thinning in Subjects With Violent Antisocial Personality Disorder or Schizophrenia,https://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.2007.06101631,ovid_search,ASPD(violent),14,,Violent,,,33.5,,1,1,,Mixed,,,,,,,Manual,cm3,1.5,,,,,1266.53,112.6,,,,,,,,,,,465.8,67.7,,,,,620.07,39.1,,,,,180.65,56.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Narayan et al,",2007,Regional Cortical Thinning in Subjects With Violent Antisocial Personality Disorder or Schizophrenia,https://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.2007.06101631,ovid_search,HCA,15,,Non-offender,,,32.1,,1,1,,No,,,,,,,Manual,cm3,1.5,,,,,1312.8,119.35,,,,,,,,,,,482.59,60.86,,,,,662.84,45.17,,,,,167.36,32.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,"Noordermeer et al,",2017,Structural Brain Abnormalities of Attention-Deficit/Hyperactivity Disorder With Oppositional Defiant Disorder,https://www.biologicalpsychiatryjournal.com/article/S0006-3223(17)31807-3/fulltext,ovid_search,ADHD+DBD,67,,Non-offender,,,16.3,98,,0.66,,,,,1,0,0,Mixed,Freesurfer segmentation,cm3,1.5,,,,,,,,,,,,,13.6,1.96,13.83,1.93,13.715,1.9412,,,,,697.75,78.84,,,,,,,1.5,0.2,1.52,0.21,1.51,0.204,,,,,,,,,0.66,0.13,,0.67,0.11,,0.665,0.1201,3.98,0.57,4.29,0.59,4.235,0.632,,54.34,5.99,55.54,6.68,54.44,5.919,,,,,2.91,0.55,,,,,,,,4.03,0.48,4.03,0.47,4.03,0.4732,7.11,1.02,7.32,1.14,7.215,1.0827,,,,,,,,,,,,,,,,,,,1.84,0.28,1.79,0.23,1.815,0.2565,,2.45,0.46,2.2,0.43,2.325,0.461,,,,,,,,,,,6.36,0.8,6.22,0.66,6.29,0.734,,,,,,,,8.02,0.94,7.4,0.77,7.71,0.9108,,,,,,
,13,"Noordermeer et al,",2017,Structural Brain Abnormalities of Attention-Deficit/Hyperactivity Disorder With Oppositional Defiant Disorder,https://www.biologicalpsychiatryjournal.com/article/S0006-3223(17)31807-3/fulltext,ovid_search,HCY,233,,Non-offender,,,16.6,105.9,,0.55,,,,,1,0,0,No,Freesurfer segmentation,mm3,1.5,,,,,,,,,,,,,13.7,1.66,13.92,1.66,13.81,1.66,,,,,715.62,72.13,,,,,,,1.55,0.2,1.55,0.2,1.55,0.2,,,,,,,,,0.68,0.12,,0.67,0.1,,0.69,0.1108,4.1,0.52,4.41,0.54,4.135,0.5985,,53.71,5.89,55.26,6.11,54.48,6.0439,,,,,2.96,0.46,,,,,,,,4.08,0.39,4.06,0.38,4.07,0.3847,7.39,1.01,7.5,0.96,7.445,0.9858,,,,,,,,,,,,,,,,,,,1.88,0.3,1.81,0.22,1.845,0.2571,,2.51,0.36,2.34,0.36,2.425,0.3695,,,,,,,,,,,6.3,0.77,6.15,0.7,6.225,0.7389,,,,,,,,8.11,0.87,7.5,0.73,7.805,0.8583,,,,,,
Graph_Digitizer,14,"Kumari et al,",2013,Lower anterior cingulate volume in seriously violent men with antisocial personality disorder or schizophrenia and a history of childhood abuse,https://doi.org/10.1177%2F0004867413512690,ovid_search,ASPD,14,,Violent,,,33.5,96.35,,1,No,No,Not specified,No,,,,,Manual,cm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph_Digitizer,14,"Kumari et al,",2013,Lower anterior cingulate volume in seriously violent men with antisocial personality disorder or schizophrenia and a history of childhood abuse,https://doi.org/10.1177%2F0004867413512690,ovid_search,HCA,15,,Non-offender,,,32.13,106.87,,1,No,No,No,No,,,,,Manual,cm3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
